fish_id,test_name,bin,bin_s,l_saccs,r_saccs,l_saccs_s,r_saccs_s,l_abs,r_abs,l_abs_s,r_abs_s,l_abs_norm,r_abs_norm,l_abs_s_norm,r_abs_s_norm,l_agr,r_agr,l_agr_s,r_agr_s
3,wd,50,50,5,3,8,7,64.59664822,49.08189392,120.5296364,109.2892151,0.865515785,0.749213434,0.945802897,0.933388971,0.696,0.632,0.672,0.648
3,wd,60,50,3,4,8,7,55.93298817,60.20732117,120.5296364,109.2892151,0.749433376,0.919038167,0.945802897,0.933388971,0.648,0.664,0.672,0.648
3,wd,70,70,5,2,8,5,70.43260956,50.60571289,127.3013124,106.2567902,0.943710502,0.772473857,0.998940623,0.907490423,0.712,0.624,0.68,0.64
3,wd,80,70,3,3,8,5,56.86870289,55.65107727,127.3013124,106.2567902,0.761970804,0.849489116,0.998940623,0.907490423,0.648,0.656,0.68,0.64
3,wd,90,90,5,3,10,7,65.43559265,51.57737732,124.2728176,117.0886078,0.87675661,0.787305886,0.975175852,1,0.68,0.584,0.626506024,0.634538153
3,wd,100,90,5,4,10,7,58.83722496,65.51123047,124.2728176,117.0886078,0.788346584,1,0.975175852,1,0.572580645,0.685483871,0.626506024,0.634538153
3,gd,0,0,0,0,0,0,48.57049751,48.66680908,48.57049751,48.66680908,0.836061164,0.73778868,0.435892899,0.439581989,0.003968254,0.003968254,0.003968254,0.003968254
3,gd,10,10,3,2,5,4,37.04418564,25.47528076,65.49930096,58.5868988,0.637654678,0.38620518,0.58781939,0.529185003,0.612903226,0.596774194,0.608,0.612
3,gd,20,10,2,2,5,4,28.45511532,33.11161804,65.49930096,58.5868988,0.489807971,0.50197203,0.58781939,0.529185003,0.603174603,0.626984127,0.608,0.612
3,gd,30,30,4,4,7,7,54.04832745,42.69493103,96.17996502,92.33023071,0.930352989,0.647255026,0.863161095,0.833970979,0.717741935,0.661290323,0.710843373,0.714859438
3,gd,40,30,3,3,7,7,42.13163757,49.63529968,96.17996502,92.33023071,0.725226789,0.752470994,0.863161095,0.833970979,0.704,0.768,0.710843373,0.714859438
3,gd,50,50,5,4,8,10,58.09443092,40.82862854,108.0421019,97.39700317,1,0.618961886,0.969617102,0.879736501,0.728,0.68,0.706827309,0.686746988
3,gd,60,50,3,6,8,10,49.94767094,56.56837463,108.0421019,97.39700317,0.859766937,0.85757639,0.969617102,0.879736501,0.685483871,0.693548387,0.706827309,0.686746988
3,gd,70,70,5,5,11,10,57.28831768,47.9770813,111.4275951,110.7115631,0.986124087,0.727332409,1,1,0.6,0.616,0.632,0.668
3,gd,80,70,6,5,11,10,54.13927746,62.73448181,111.4275951,110.7115631,0.931918544,0.951054556,1,1,0.664,0.72,0.632,0.668
3,gd,90,90,5,5,9,10,52.56084728,37.83509827,109.5272865,103.798172,0.904748466,0.573579976,0.982945799,0.937554932,0.656,0.616,0.678714859,0.662650602
3,gd,100,90,4,5,9,10,56.96643925,65.96307373,109.5272865,103.798172,0.98058348,1,0.982945799,0.937554932,0.701612903,0.709677419,0.678714859,0.662650602
3,td,0,0,2,1,2,1,60.47819042,45.65361023,60.47819042,45.65361023,1,0.768632884,0.555780885,0.44253863,0.007936508,0.007936508,0.007936508,0.007936508
3,td,10,10,0,0,1,1,23.01235771,21.34628296,50.60783195,38.72984314,0.380506717,0.359390089,0.465074524,0.375423798,0.496,0.464,0.485943775,0.514056225
3,td,20,10,1,1,1,1,27.59547424,17.38356018,50.60783195,38.72984314,0.456288028,0.292672933,0.465074524,0.375423798,0.475806452,0.564516129,0.485943775,0.514056225
3,td,30,30,3,3,5,6,38.92081833,32.02232361,75.97716427,74.24443054,0.643551304,0.539133944,0.698212948,0.719680841,0.603174603,0.619047619,0.576,0.648
3,td,40,30,2,3,5,6,37.05634594,42.22210693,75.97716427,74.24443054,0.612722465,0.710859441,0.698212948,0.719680841,0.548387097,0.677419355,0.576,0.648
3,td,50,50,5,4,8,9,56.07978725,37.50320435,102.4190235,92.98075867,0.927272904,0.631411097,0.941207651,0.901299533,0.704,0.624,0.712,0.672
3,td,60,50,3,5,8,9,46.33923626,55.47755432,102.4190235,92.98075867,0.766214001,0.934030679,0.941207651,0.901299533,0.72,0.72,0.712,0.672
3,td,70,70,4,4,8,9,58.24133492,43.76713562,101.3119736,103.1629944,0.963013849,0.736871838,0.931034113,1,0.696,0.704,0.676,0.716
3,td,80,70,4,5,8,9,43.07063866,59.39585876,101.3119736,103.1629944,0.712168111,1,0.931034113,1,0.656,0.728,0.676,0.716
3,td,90,90,5,5,8,8,56.28471661,39.1739502,108.8166075,91.00946045,0.930661387,0.659540093,1,0.882190954,0.704,0.696,0.7,0.704
3,td,100,90,3,3,8,8,52.53189087,51.83551025,108.8166075,91.00946045,0.868608841,0.872712531,1,0.882190954,0.696,0.712,0.7,0.704
